iteration,milestone,datasplit,mse
100,1,Train,0.13063831627368927
100,1,Validation,0.13237276673316956
200,2,Train,0.0701306015253067
200,2,Validation,0.0683688297867775
300,3,Train,0.050320424139499664
300,3,Validation,0.04967326670885086
400,4,Train,0.04069822281599045
400,4,Validation,0.039532050490379333
500,5,Train,0.03339998796582222
500,5,Validation,0.0332278348505497
600,6,Train,0.029994113370776176
600,6,Validation,0.028957365080714226
700,7,Train,0.025662260130047798
700,7,Validation,0.02572806365787983
800,8,Train,0.02347053959965706
800,8,Validation,0.023391740396618843
900,9,Train,0.022108301520347595
900,9,Validation,0.02185860276222229
1000,10,Train,0.02076863870024681
1000,10,Validation,0.02058439888060093
1100,11,Train,0.01991988904774189
1100,11,Validation,0.019441070035099983
1200,12,Train,0.018953965976834297
1200,12,Validation,0.01867828704416752
1300,13,Train,0.018524425104260445
1300,13,Validation,0.018063515424728394
1400,14,Train,0.017554866150021553
1400,14,Validation,0.01763243041932583
1500,15,Train,0.01798943243920803
1500,15,Validation,0.017354125156998634
1600,16,Train,0.017677413299679756
1600,16,Validation,0.017242291942238808
1700,17,Train,0.017216477543115616
1700,17,Validation,0.01722743734717369
1800,18,Train,0.017744876444339752
1800,18,Validation,0.01733475737273693
1900,19,Train,0.017657624557614326
1900,19,Validation,0.017453158274292946
2000,20,Train,0.017781835049390793
2000,20,Validation,0.017643246799707413
2100,21,Train,0.018111055716872215
2100,21,Validation,0.017827671021223068
2200,22,Train,0.018089555203914642
2200,22,Validation,0.017959244549274445
2300,23,Train,0.017975876107811928
2300,23,Validation,0.01813637651503086
2400,24,Train,0.018645117059350014
2400,24,Validation,0.018226662650704384
2500,25,Train,0.018135463818907738
2500,25,Validation,0.01824907772243023
2600,26,Train,0.018013380467891693
2600,26,Validation,0.01814953051507473
2700,27,Train,0.018340131267905235
2700,27,Validation,0.018061134964227676
2800,28,Train,0.018257489427924156
2800,28,Validation,0.01797066442668438
2900,29,Train,0.01825881376862526
2900,29,Validation,0.017895836383104324
3000,30,Train,0.018045390024781227
3000,30,Validation,0.017748737707734108
3100,31,Train,0.017683668062090874
3100,31,Validation,0.01758493110537529
