iteration,milestone,datasplit,mse
500,1,Train,0.024771539494395256
500,1,Validation,0.02475677616894245
1000,2,Train,0.017750663682818413
1000,2,Validation,0.017630914226174355
1500,3,Train,0.0166015625
1500,3,Validation,0.016001995652914047
2000,4,Train,0.01602235808968544
2000,4,Validation,0.015987563878297806
2500,5,Train,0.01625312678515911
2500,5,Validation,0.01636449806392193
3000,6,Train,0.016536526381969452
3000,6,Validation,0.01625029183924198
3500,7,Train,0.015998458489775658
3500,7,Validation,0.015896359458565712
4000,8,Train,0.015654945746064186
4000,8,Validation,0.015448486432433128
4500,9,Train,0.015015458688139915
4500,9,Validation,0.014995163306593895
5000,10,Train,0.01475683692842722
5000,10,Validation,0.014624400995671749
5500,11,Train,0.01450047455728054
5500,11,Validation,0.014356417581439018
6000,12,Train,0.014508058317005634
6000,12,Validation,0.014175239019095898
6500,13,Train,0.014157301746308804
6500,13,Validation,0.014035443775355816
7000,14,Train,0.014177953824400902
7000,14,Validation,0.013953386805951595
7500,15,Train,0.01411531399935484
7500,15,Validation,0.013889126479625702
8000,16,Train,0.013972005806863308
8000,16,Validation,0.01385449431836605
8500,17,Train,0.013906880281865597
8500,17,Validation,0.013824306428432465
9000,18,Train,0.014138596132397652
9000,18,Validation,0.0138087198138237
9500,19,Train,0.014081824570894241
9500,19,Validation,0.0137927932664752
10000,20,Train,0.014086970128118992
10000,20,Validation,0.013780247420072556
10500,21,Train,0.014030031859874725
10500,21,Validation,0.013768436387181282
11000,22,Train,0.013893074356019497
11000,22,Validation,0.013758632354438305
11500,23,Train,0.013888402841985226
11500,23,Validation,0.013751493766903877
12000,24,Train,0.013827596791088581
12000,24,Validation,0.013742380775511265
12500,25,Train,0.014089112170040607
12500,25,Validation,0.013737767934799194
13000,26,Train,0.013798738829791546
13000,26,Validation,0.013734160922467709
13500,27,Train,0.01399851031601429
13500,27,Validation,0.013732259161770344
14000,28,Train,0.01412153895944357
14000,28,Validation,0.013730060309171677
14500,29,Train,0.013779999688267708
14500,29,Validation,0.013727406971156597
15000,30,Train,0.01400504820048809
15000,30,Validation,0.01372451987117529
15500,31,Train,0.01380846742540598
15500,31,Validation,0.013722134754061699
16000,32,Train,0.01404841709882021
16000,32,Validation,0.013720872811973095
16500,33,Train,0.013697748072445393
16500,33,Validation,0.013719303533434868
17000,34,Train,0.013551142066717148
17000,34,Validation,0.01371892262250185
17500,35,Train,0.013802163302898407
17500,35,Validation,0.013718481175601482
18000,36,Train,0.014003540389239788
18000,36,Validation,0.013718257658183575
18500,37,Train,0.013939752243459225
18500,37,Validation,0.013717719353735447
19000,38,Train,0.013928085565567017
19000,38,Validation,0.013716442510485649
19500,39,Train,0.013714276254177094
19500,39,Validation,0.013715858571231365
20000,40,Train,0.01393559668213129
20000,40,Validation,0.01371596660465002
20500,41,Train,0.013791757635772228
20500,41,Validation,0.013715564273297787
21000,42,Train,0.013881613500416279
21000,42,Validation,0.013715558685362339
21500,43,Train,0.01364782452583313
21500,43,Validation,0.013717593625187874
22000,44,Train,0.014016241766512394
22000,44,Validation,0.013716554269194603
22500,45,Train,0.013881096616387367
22500,45,Validation,0.013714159838855267
23000,46,Train,0.013723460026085377
23000,46,Validation,0.013713251799345016
23500,47,Train,0.01378535944968462
23500,47,Validation,0.013711669482290745
24000,48,Train,0.014041280373930931
24000,48,Validation,0.013710861094295979
24500,49,Train,0.01412616204470396
24500,49,Validation,0.01371084712445736
25000,50,Train,0.013889893889427185
25000,50,Validation,0.013709704391658306
25500,51,Train,0.014131228439509869
25500,51,Validation,0.013708765618503094
26000,52,Train,0.013857323676347733
26000,52,Validation,0.013708765618503094
26500,53,Train,0.013924111612141132
26500,53,Validation,0.013707844540476799
27000,54,Train,0.013819308020174503
27000,54,Validation,0.013707444071769714
27500,55,Train,0.013827372342348099
27500,55,Validation,0.01370856910943985
28000,56,Train,0.013696917332708836
28000,56,Validation,0.013706664554774761
28500,57,Train,0.01380830816924572
28500,57,Validation,0.013705709017813206
29000,58,Train,0.014137361198663712
29000,58,Validation,0.01370545569807291
29500,59,Train,0.0137181980535388
29500,59,Validation,0.013705256395041943
30000,60,Train,0.013849086128175259
30000,60,Validation,0.013704510405659676
30500,61,Train,0.013844183646142483
30500,61,Validation,0.013705017976462841
31000,62,Train,0.01412768941372633
31000,62,Validation,0.013704938814043999
31500,63,Train,0.013596841134130955
31500,63,Validation,0.013704593293368816
32000,64,Train,0.01370231807231903
32000,64,Validation,0.013704119250178337
32500,65,Train,0.013668002560734749
32500,65,Validation,0.01370409969240427
33000,66,Train,0.01401657983660698
33000,66,Validation,0.013706071302294731
33500,67,Train,0.013767492026090622
33500,67,Validation,0.0137045131996274
34000,68,Train,0.01374337449669838
34000,68,Validation,0.01370431762188673
34500,69,Train,0.013715825043618679
34500,69,Validation,0.013704033568501472
35000,70,Train,0.013894569128751755
35000,70,Validation,0.013704081065952778
35500,71,Train,0.013701939024031162
35500,71,Validation,0.013703797943890095
36000,72,Train,0.013661837205290794
36000,72,Validation,0.013702969998121262
36500,73,Train,0.013746172189712524
36500,73,Validation,0.013701986521482468
37000,74,Train,0.013627671636641026
37000,74,Validation,0.013701196759939194
37500,75,Train,0.01378599926829338
37500,75,Validation,0.013700553216040134
38000,76,Train,0.014028782956302166
38000,76,Validation,0.01370005588978529
38500,77,Train,0.013803879730403423
38500,77,Validation,0.013698662631213665
39000,78,Train,0.014188648201525211
39000,78,Validation,0.013697650283575058
39500,79,Train,0.01370052807033062
39500,79,Validation,0.013697313144803047
40000,80,Train,0.013597063720226288
40000,80,Validation,0.013697605580091476
40500,81,Train,0.013764522038400173
40500,81,Validation,0.013697268441319466
41000,82,Train,0.013780062086880207
41000,82,Validation,0.013697001151740551
41500,83,Train,0.01391927246004343
41500,83,Validation,0.013697577640414238
42000,84,Train,0.013919043354690075
42000,84,Validation,0.01369822770357132
