iteration,milestone,datasplit,mse
500,1,Train,0.7868044376373291
500,1,Validation,0.787533164024353
1000,2,Train,0.9317845106124878
1000,2,Validation,0.9313552379608154
1500,3,Train,1.1823991537094116
1500,3,Validation,1.1753005981445312
2000,4,Train,1.1543992757797241
2000,4,Validation,1.1422916650772095
2500,5,Train,0.8171986937522888
2500,5,Validation,0.8069112300872803
3000,6,Train,0.43058669567108154
3000,6,Validation,0.42496421933174133
3500,7,Train,0.19962559640407562
3500,7,Validation,0.1967523843050003
4000,8,Train,0.1134052723646164
4000,8,Validation,0.11205803602933884
4500,9,Train,0.07852189242839813
4500,9,Validation,0.07875041663646698
5000,10,Train,0.061369888484478
5000,10,Validation,0.06129475310444832
5500,11,Train,0.05276363343000412
5500,11,Validation,0.05259907990694046
6000,12,Train,0.049674201756715775
6000,12,Validation,0.04942776635289192
6500,13,Train,0.048880331218242645
6500,13,Validation,0.048764560371637344
7000,14,Train,0.04847845435142517
7000,14,Validation,0.04815177246928215
7500,15,Train,0.04971281439065933
7500,15,Validation,0.049553196877241135
8000,16,Train,0.049788329750299454
8000,16,Validation,0.049588609486818314
8500,17,Train,0.04916902258992195
8500,17,Validation,0.04927225038409233
9000,18,Train,0.04858240857720375
9000,18,Validation,0.0484672375023365
9500,19,Train,0.048889826983213425
9500,19,Validation,0.04894787073135376
10000,20,Train,0.04941822960972786
10000,20,Validation,0.049472976475954056
10500,21,Train,0.04965890944004059
10500,21,Validation,0.04955737665295601
11000,22,Train,0.048937562853097916
11000,22,Validation,0.04884358122944832
11500,23,Train,0.04789085313677788
11500,23,Validation,0.04797343537211418
12000,24,Train,0.04715899005532265
12000,24,Validation,0.04715900123119354
12500,25,Train,0.046478237956762314
12500,25,Validation,0.046451471745967865
13000,26,Train,0.04691527411341667
13000,26,Validation,0.04700099304318428
13500,27,Train,0.045858483761548996
13500,27,Validation,0.04582396149635315
14000,28,Train,0.04544427618384361
14000,28,Validation,0.045287709683179855
14500,29,Train,0.044402822852134705
14500,29,Validation,0.04438277333974838
15000,30,Train,0.044666774570941925
15000,30,Validation,0.04467042535543442
15500,31,Train,0.04473837837576866
15500,31,Validation,0.044879183173179626
16000,32,Train,0.045346684753894806
16000,32,Validation,0.04522828385233879
16500,33,Train,0.045294713228940964
16500,33,Validation,0.045453011989593506
17000,34,Train,0.04656578600406647
17000,34,Validation,0.0465635247528553
17500,35,Train,0.045869965106248856
17500,35,Validation,0.045832376927137375
18000,36,Train,0.04599170759320259
18000,36,Validation,0.046010587364435196
18500,37,Train,0.046191081404685974
18500,37,Validation,0.04619501158595085
19000,38,Train,0.04558708891272545
19000,38,Validation,0.045500751584768295
19500,39,Train,0.045268457382917404
19500,39,Validation,0.04521213099360466
20000,40,Train,0.044789236038923264
20000,40,Validation,0.04495532438158989
20500,41,Train,0.04552232474088669
20500,41,Validation,0.045782074332237244
21000,42,Train,0.045588042587041855
21000,42,Validation,0.045601651072502136
21500,43,Train,0.04518885910511017
21500,43,Validation,0.04517044499516487
22000,44,Train,0.04445880651473999
22000,44,Validation,0.04436010494828224
22500,45,Train,0.04428037628531456
22500,45,Validation,0.04409239813685417
23000,46,Train,0.04396437481045723
23000,46,Validation,0.04400729015469551
23500,47,Train,0.04414398968219757
23500,47,Validation,0.04395710304379463
24000,48,Train,0.04386141151189804
24000,48,Validation,0.043868400156497955
24500,49,Train,0.04385783150792122
24500,49,Validation,0.04386701062321663
25000,50,Train,0.04407462850213051
25000,50,Validation,0.04400195553898811
25500,51,Train,0.04396594315767288
25500,51,Validation,0.043988022953271866
26000,52,Train,0.044412463903427124
26000,52,Validation,0.04449577257037163
26500,53,Train,0.04040250554680824
26500,53,Validation,0.040315624326467514
27000,54,Train,0.038140736520290375
27000,54,Validation,0.03801968693733215
27500,55,Train,0.03632475435733795
27500,55,Validation,0.0363255999982357
28000,56,Train,0.033664166927337646
28000,56,Validation,0.033832404762506485
28500,57,Train,0.031488675624132156
28500,57,Validation,0.03155655041337013
29000,58,Train,0.03061199188232422
29000,58,Validation,0.03029816970229149
29500,59,Train,0.03211599215865135
29500,59,Validation,0.032212644815444946
30000,60,Train,0.03662923723459244
30000,60,Validation,0.036744125187397
30500,61,Train,0.04271235316991806
30500,61,Validation,0.042733561247587204
31000,62,Train,0.04457109794020653
31000,62,Validation,0.0446438193321228
31500,63,Train,0.04587912559509277
31500,63,Validation,0.046081315726041794
32000,64,Train,0.04581293836236
32000,64,Validation,0.045828744769096375
