iteration,milestone,datasplit,mse
500,1,Train,0.8040575981140137
500,1,Validation,0.8076304793357849
1000,2,Train,1.0237900018692017
1000,2,Validation,1.0207021236419678
1500,3,Train,1.2014309167861938
1500,3,Validation,1.2062126398086548
2000,4,Train,1.2419219017028809
2000,4,Validation,1.2356910705566406
2500,5,Train,0.8218839168548584
2500,5,Validation,0.8311354517936707
3000,6,Train,0.40008899569511414
3000,6,Validation,0.39476582407951355
3500,7,Train,0.17464618384838104
3500,7,Validation,0.1712501049041748
4000,8,Train,0.0909218117594719
4000,8,Validation,0.08981945365667343
4500,9,Train,0.06012064218521118
4500,9,Validation,0.060116786509752274
5000,10,Train,0.04755533114075661
5000,10,Validation,0.04750927537679672
5500,11,Train,0.04115975275635719
5500,11,Validation,0.04122075438499451
6000,12,Train,0.04031147062778473
6000,12,Validation,0.04015754908323288
6500,13,Train,0.04088332876563072
6500,13,Validation,0.04064201936125755
7000,14,Train,0.042837027460336685
7000,14,Validation,0.04256438836455345
7500,15,Train,0.043526869267225266
7500,15,Validation,0.04365255683660507
8000,16,Train,0.04394154995679855
8000,16,Validation,0.04392801597714424
8500,17,Train,0.04473011940717697
8500,17,Validation,0.04463975131511688
9000,18,Train,0.04691256582736969
9000,18,Validation,0.046662136912345886
9500,19,Train,0.049747858196496964
9500,19,Validation,0.049523014575242996
10000,20,Train,0.0502801313996315
10000,20,Validation,0.05024700239300728
10500,21,Train,0.050509221851825714
10500,21,Validation,0.050391051918268204
11000,22,Train,0.05011393502354622
11000,22,Validation,0.050123341381549835
11500,23,Train,0.04967289790511131
11500,23,Validation,0.04977354407310486
12000,24,Train,0.04945012927055359
12000,24,Validation,0.049501072615385056
12500,25,Train,0.049731023609638214
12500,25,Validation,0.049565255641937256
13000,26,Train,0.05022638663649559
13000,26,Validation,0.05014626309275627
13500,27,Train,0.05016683414578438
13500,27,Validation,0.05013896897435188
14000,28,Train,0.05130825936794281
14000,28,Validation,0.05109428986907005
14500,29,Train,0.05147656425833702
