iteration,milestone,datasplit,mse
500,1,Train,0.7537487745285034
500,1,Validation,0.7530787587165833
1000,2,Train,0.8722673654556274
1000,2,Validation,0.8676783442497253
1500,3,Train,1.012953281402588
1500,3,Validation,1.0134979486465454
2000,4,Train,1.0314680337905884
2000,4,Validation,1.0310941934585571
2500,5,Train,0.8078979253768921
2500,5,Validation,0.8041370511054993
3000,6,Train,0.36165204644203186
3000,6,Validation,0.3601190149784088
3500,7,Train,0.14578256011009216
3500,7,Validation,0.14641809463500977
4000,8,Train,0.08022775501012802
4000,8,Validation,0.08021032065153122
4500,9,Train,0.05953586474061012
4500,9,Validation,0.05973225459456444
5000,10,Train,0.048779867589473724
5000,10,Validation,0.04879234731197357
5500,11,Train,0.0449349582195282
5500,11,Validation,0.044993966817855835
6000,12,Train,0.04393831267952919
6000,12,Validation,0.043670494109392166
6500,13,Train,0.043472401797771454
6500,13,Validation,0.04357488825917244
7000,14,Train,0.04354206100106239
7000,14,Validation,0.043375447392463684
7500,15,Train,0.042662039399147034
7500,15,Validation,0.042706213891506195
8000,16,Train,0.04392777383327484
8000,16,Validation,0.04367130622267723
8500,17,Train,0.0434403233230114
8500,17,Validation,0.043392688035964966
9000,18,Train,0.042780470103025436
9000,18,Validation,0.04287475347518921
9500,19,Train,0.042227499186992645
9500,19,Validation,0.04211908206343651
10000,20,Train,0.042086921632289886
10000,20,Validation,0.041951246559619904
10500,21,Train,0.041710928082466125
10500,21,Validation,0.041593216359615326
11000,22,Train,0.041911106556653976
11000,22,Validation,0.0417618453502655
11500,23,Train,0.041718773543834686
11500,23,Validation,0.04160550236701965
12000,24,Train,0.04131413251161575
12000,24,Validation,0.04125124216079712
12500,25,Train,0.041410159319639206
12500,25,Validation,0.04135493189096451
13000,26,Train,0.041941914707422256
13000,26,Validation,0.041927769780159
13500,27,Train,0.04114927351474762
13500,27,Validation,0.04125537350773811
14000,28,Train,0.04105205088853836
14000,28,Validation,0.04097379371523857
14500,29,Train,0.04166204482316971
14500,29,Validation,0.04150167852640152
15000,30,Train,0.04045150801539421
15000,30,Validation,0.04042612388730049
15500,31,Train,0.039536092430353165
15500,31,Validation,0.039618320763111115
16000,32,Train,0.04070080816745758
16000,32,Validation,0.04059408977627754
16500,33,Train,0.04002121835947037
16500,33,Validation,0.040126413106918335
17000,34,Train,0.04071337729692459
17000,34,Validation,0.040720779448747635
17500,35,Train,0.04085725545883179
17500,35,Validation,0.04093204438686371
18000,36,Train,0.041431717574596405
18000,36,Validation,0.041361253708601
18500,37,Train,0.041228245943784714
18500,37,Validation,0.04118186607956886
19000,38,Train,0.040392328053712845
19000,38,Validation,0.040406711399555206
19500,39,Train,0.040956735610961914
19500,39,Validation,0.04083501920104027
20000,40,Train,0.041541580110788345
20000,40,Validation,0.04159027710556984
20500,41,Train,0.041419971734285355
20500,41,Validation,0.04149823635816574
21000,42,Train,0.0391065776348114
21000,42,Validation,0.039155878126621246
21500,43,Train,0.03578533977270126
21500,43,Validation,0.03601096570491791
22000,44,Train,0.03401761129498482
22000,44,Validation,0.03368386998772621
22500,45,Train,0.03246377781033516
22500,45,Validation,0.03231928125023842
23000,46,Train,0.03146430104970932
23000,46,Validation,0.03161460533738136
23500,47,Train,0.03278055042028427
23500,47,Validation,0.032685793936252594
24000,48,Train,0.03353674337267876
24000,48,Validation,0.033509738743305206
24500,49,Train,0.034174274653196335
24500,49,Validation,0.03397376090288162
25000,50,Train,0.03417371213436127
25000,50,Validation,0.03409521281719208
25500,51,Train,0.03508080542087555
25500,51,Validation,0.03489123284816742
26000,52,Train,0.03520974516868591
26000,52,Validation,0.03515774384140968
26500,53,Train,0.04008745029568672
26500,53,Validation,0.03999360278248787
27000,54,Train,0.04273689538240433
27000,54,Validation,0.04279803857207298
27500,55,Train,0.03917217254638672
27500,55,Validation,0.039149582386016846
28000,56,Train,0.041154369711875916
28000,56,Validation,0.04129547253251076
28500,57,Train,0.044416360557079315
28500,57,Validation,0.04432535171508789
29000,58,Train,0.04536435008049011
29000,58,Validation,0.04526710510253906
29500,59,Train,0.04607409983873367
29500,59,Validation,0.04624204710125923
30000,60,Train,0.047360170632600784
30000,60,Validation,0.047433506697416306
30500,61,Train,0.04740529879927635
30500,61,Validation,0.04745565727353096
31000,62,Train,0.04767221212387085
31000,62,Validation,0.04767730087041855
31500,63,Train,0.04850226640701294
31500,63,Validation,0.04848052188754082
32000,64,Train,0.04761015251278877
32000,64,Validation,0.0476725809276104
32500,65,Train,0.04635442793369293
32500,65,Validation,0.04636945202946663
33000,66,Train,0.04654461890459061
33000,66,Validation,0.046359941363334656
33500,67,Train,0.045952778309583664
33500,67,Validation,0.046009741723537445
34000,68,Train,0.04427974671125412
34000,68,Validation,0.0444977693259716
34500,69,Train,0.043775614351034164
34500,69,Validation,0.04393678903579712
35000,70,Train,0.04403692111372948
35000,70,Validation,0.044214408844709396
35500,71,Train,0.04390328377485275
35500,71,Validation,0.04429314658045769
36000,72,Train,0.04440544173121452
36000,72,Validation,0.04444880038499832
36500,73,Train,0.043616216629743576
36500,73,Validation,0.043968379497528076
37000,74,Train,0.04351598024368286
37000,74,Validation,0.043554533272981644
37500,75,Train,0.04347818344831467
37500,75,Validation,0.043753378093242645
38000,76,Train,0.045186638832092285
38000,76,Validation,0.043592631816864014
