iteration,milestone,datasplit,mse
500,1,Train,0.67172771692276
500,1,Validation,0.6738818287849426
1000,2,Train,0.7312666177749634
1000,2,Validation,0.731053352355957
1500,3,Train,0.888866126537323
1500,3,Validation,0.8915925621986389
2000,4,Train,1.0509486198425293
2000,4,Validation,1.0524264574050903
2500,5,Train,1.1956884860992432
2500,5,Validation,1.2018582820892334
3000,6,Train,1.0289055109024048
3000,6,Validation,1.027809739112854
3500,7,Train,0.5672767758369446
3500,7,Validation,0.566794216632843
4000,8,Train,0.2619182765483856
4000,8,Validation,0.2618052661418915
4500,9,Train,0.1264089047908783
4500,9,Validation,0.1267918348312378
5000,10,Train,0.07339882850646973
5000,10,Validation,0.073279470205307
5500,11,Train,0.052465103566646576
5500,11,Validation,0.0523705929517746
6000,12,Train,0.04464011639356613
6000,12,Validation,0.044514477252960205
6500,13,Train,0.04346952959895134
6500,13,Validation,0.04358943551778793
7000,14,Train,0.04615870490670204
7000,14,Validation,0.04612813889980316
7500,15,Train,0.049495235085487366
7500,15,Validation,0.04973877593874931
8000,16,Train,0.054551370441913605
8000,16,Validation,0.0543876476585865
8500,17,Train,0.053433552384376526
8500,17,Validation,0.05340960621833801
9000,18,Train,0.04996993765234947
9000,18,Validation,0.050056107342243195
9500,19,Train,0.046971969306468964
9500,19,Validation,0.04711632803082466
10000,20,Train,0.043498676270246506
10000,20,Validation,0.04348987340927124
10500,21,Train,0.03972778096795082
10500,21,Validation,0.0396987609565258
11000,22,Train,0.036430004984140396
11000,22,Validation,0.03638671711087227
11500,23,Train,0.033242955803871155
11500,23,Validation,0.033286143094301224
12000,24,Train,0.032111480832099915
12000,24,Validation,0.032088372856378555
12500,25,Train,0.03340644761919975
12500,25,Validation,0.033344194293022156
13000,26,Train,0.03681130334734917
13000,26,Validation,0.036825891584157944
13500,27,Train,0.04176211729645729
13500,27,Validation,0.04173676297068596
14000,28,Train,0.04609999060630798
14000,28,Validation,0.04597587138414383
14500,29,Train,0.049548711627721786
14500,29,Validation,0.04944108799099922
15000,30,Train,0.05193876102566719
15000,30,Validation,0.05202565714716911
15500,31,Train,0.053470853716135025
15500,31,Validation,0.0533444881439209
16000,32,Train,0.05444634333252907
16000,32,Validation,0.054473016411066055
16500,33,Train,0.05452583730220795
16500,33,Validation,0.05461805686354637
17000,34,Train,0.054846394807100296
17000,34,Validation,0.0548366978764534
17500,35,Train,0.05494586005806923
17500,35,Validation,0.05496801808476448
18000,36,Train,0.055025614798069
18000,36,Validation,0.055008482187986374
18500,37,Train,0.05708403140306473
18500,37,Validation,0.057163141667842865
19000,38,Train,0.057493098080158234
19000,38,Validation,0.05762037634849548
19500,39,Train,0.057339899241924286
19500,39,Validation,0.05736379325389862
20000,40,Train,0.05656898394227028
20000,40,Validation,0.056910403072834015
20500,41,Train,0.05775319039821625
20500,41,Validation,0.057651668787002563
21000,42,Train,0.058039963245391846
21000,42,Validation,0.05806921422481537
21500,43,Train,0.05826445296406746
21500,43,Validation,0.058244917541742325
22000,44,Train,0.05825680121779442
22000,44,Validation,0.058448657393455505
22500,45,Train,0.05959120765328407
22500,45,Validation,0.05944061279296875
23000,46,Train,0.05962244048714638
23000,46,Validation,0.05964183807373047
23500,47,Train,0.05958293750882149
23500,47,Validation,0.05961824208498001
24000,48,Train,0.05904614180326462
24000,48,Validation,0.05911028012633324
24500,49,Train,0.058561164885759354
24500,49,Validation,0.05861803889274597
25000,50,Train,0.05811448022723198
25000,50,Validation,0.05800033360719681
25500,51,Train,0.05749499052762985
25500,51,Validation,0.05760844796895981
26000,52,Train,0.05871761962771416
26000,52,Validation,0.0589904859662056
26500,53,Train,0.059571217745542526
26500,53,Validation,0.059655267745256424
27000,54,Train,0.060113657265901566
27000,54,Validation,0.060394831001758575
27500,55,Train,0.0600692443549633
27500,55,Validation,0.06000231206417084
28000,56,Train,0.058981530368328094
28000,56,Validation,0.05900798365473747
28500,57,Train,0.05809861421585083
28500,57,Validation,0.05804063007235527
29000,58,Train,0.058016013354063034
29000,58,Validation,0.05808786675333977
29500,59,Train,0.05783894285559654
29500,59,Validation,0.05793781951069832
30000,60,Train,0.05845889821648598
30000,60,Validation,0.05859816074371338
30500,61,Train,0.05936940386891365
30500,61,Validation,0.05950457975268364
31000,62,Train,0.05934446305036545
31000,62,Validation,0.05936408042907715
31500,63,Train,0.058372389525175095
31500,63,Validation,0.0583103708922863
32000,64,Train,0.05845455080270767
32000,64,Validation,0.058592747896909714
32500,65,Train,0.05822912976145744
32500,65,Validation,0.05839269608259201
33000,66,Train,0.0580436997115612
33000,66,Validation,0.05809549614787102
33500,67,Train,0.05977092310786247
33500,67,Validation,0.059779129922389984
34000,68,Train,0.05970236659049988
34000,68,Validation,0.05981193110346794
34500,69,Train,0.06034192442893982
34500,69,Validation,0.0604126900434494
35000,70,Train,0.06033909693360329
35000,70,Validation,0.06048084422945976
35500,71,Train,0.06077224761247635
35500,71,Validation,0.060693081468343735
36000,72,Train,0.061083029955625534
36000,72,Validation,0.06103963777422905
36500,73,Train,0.06127847358584404
36500,73,Validation,0.0613129660487175
37000,74,Train,0.06279997527599335
37000,74,Validation,0.06267552822828293
37500,75,Train,0.0619613453745842
37500,75,Validation,0.062108587473630905
38000,76,Train,0.06179186701774597
38000,76,Validation,0.06166952848434448
38500,77,Train,0.061021219938993454
38500,77,Validation,0.06099897250533104
39000,78,Train,0.06071329861879349
39000,78,Validation,0.06055867299437523
39500,79,Train,0.06029359623789787
39500,79,Validation,0.060296960175037384
40000,80,Train,0.05950694903731346
40000,80,Validation,0.05968521162867546
40500,81,Train,0.06004319712519646
40500,81,Validation,0.060271911323070526
41000,82,Train,0.0605793260037899
41000,82,Validation,0.06078091263771057
41500,83,Train,0.06047465279698372
41500,83,Validation,0.06051507592201233
42000,84,Train,0.060371726751327515
42000,84,Validation,0.06012289971113205
42500,85,Train,0.06022226810455322
42500,85,Validation,0.06025929003953934
43000,86,Train,0.06004880741238594
43000,86,Validation,0.0601966567337513
43500,87,Train,0.05985195189714432
