iteration,milestone,datasplit,mse
500,1,Train,0.7027180194854736
500,1,Validation,0.7079275250434875
1000,2,Train,0.6683377027511597
1000,2,Validation,0.6680886745452881
1500,3,Train,0.668766438961029
1500,3,Validation,0.6682164072990417
2000,4,Train,0.7619348764419556
2000,4,Validation,0.7589133381843567
2500,5,Train,0.8913825750350952
2500,5,Validation,0.8943225741386414
3000,6,Train,0.7295330762863159
3000,6,Validation,0.7294303774833679
3500,7,Train,0.3759780526161194
3500,7,Validation,0.3739844858646393
4000,8,Train,0.1758190244436264
4000,8,Validation,0.17523416876792908
4500,9,Train,0.08899097889661789
4500,9,Validation,0.08945034444332123
5000,10,Train,0.056832682341337204
5000,10,Validation,0.05644560605287552
5500,11,Train,0.04195903241634369
5500,11,Validation,0.041839390993118286
6000,12,Train,0.03639835864305496
6000,12,Validation,0.03615279868245125
6500,13,Train,0.030850542709231377
6500,13,Validation,0.03096766397356987
7000,14,Train,0.026741232722997665
7000,14,Validation,0.0267021581530571
7500,15,Train,0.030170997604727745
7500,15,Validation,0.030081918463110924
8000,16,Train,0.031012194231152534
8000,16,Validation,0.030956104397773743
8500,17,Train,0.031931061297655106
8500,17,Validation,0.03192096948623657
9000,18,Train,0.03291083127260208
9000,18,Validation,0.032762762159109116
9500,19,Train,0.0340588316321373
9500,19,Validation,0.033977899700403214
10000,20,Train,0.03566711023449898
10000,20,Validation,0.03573070093989372
10500,21,Train,0.03719334304332733
10500,21,Validation,0.03707283362746239
11000,22,Train,0.037911009043455124
11000,22,Validation,0.03791598603129387
11500,23,Train,0.038915641605854034
11500,23,Validation,0.03890925645828247
12000,24,Train,0.039881713688373566
12000,24,Validation,0.03988874331116676
12500,25,Train,0.04243631288409233
12500,25,Validation,0.0424298532307148
13000,26,Train,0.04303104430437088
13000,26,Validation,0.04303518310189247
13500,27,Train,0.043935149908065796
13500,27,Validation,0.043892644345760345
14000,28,Train,0.04582982137799263
14000,28,Validation,0.04556119441986084
14500,29,Train,0.04617622122168541
14500,29,Validation,0.04589078202843666
15000,30,Train,0.0465371198952198
15000,30,Validation,0.04654935002326965
15500,31,Train,0.04716087132692337
15500,31,Validation,0.04713652655482292
16000,32,Train,0.04794573038816452
16000,32,Validation,0.04809339717030525
16500,33,Train,0.04941319301724434
16500,33,Validation,0.04964770749211311
17000,34,Train,0.04956244304776192
17000,34,Validation,0.04965924099087715
17500,35,Train,0.049810390919446945
17500,35,Validation,0.04989926144480705
18000,36,Train,0.05077454447746277
18000,36,Validation,0.050697170197963715
18500,37,Train,0.05018892139196396
18500,37,Validation,0.05019932612776756
19000,38,Train,0.04976753145456314
19000,38,Validation,0.04991104081273079
19500,39,Train,0.04991651326417923
19500,39,Validation,0.0499076247215271
20000,40,Train,0.050624627619981766
20000,40,Validation,0.050771377980709076
20500,41,Train,0.05069863051176071
20500,41,Validation,0.050684183835983276
21000,42,Train,0.050694942474365234
21000,42,Validation,0.05064787343144417
21500,43,Train,0.05123390257358551
21500,43,Validation,0.051203709095716476
22000,44,Train,0.051789816468954086
22000,44,Validation,0.05189867690205574
22500,45,Train,0.05269504338502884
22500,45,Validation,0.05260560289025307
23000,46,Train,0.05266549810767174
23000,46,Validation,0.05291424319148064
23500,47,Train,0.052983980625867844
23500,47,Validation,0.052777692675590515
24000,48,Train,0.053515877574682236
24000,48,Validation,0.05362308770418167
24500,49,Train,0.054259900003671646
24500,49,Validation,0.054221734404563904
25000,50,Train,0.054200854152441025
25000,50,Validation,0.05396609008312225
25500,51,Train,0.05240488797426224
25500,51,Validation,0.05246974155306816
26000,52,Train,0.05232000723481178
26000,52,Validation,0.052393101155757904
26500,53,Train,0.05263257026672363
26500,53,Validation,0.05283429101109505
27000,54,Train,0.05266547203063965
27000,54,Validation,0.052855562418699265
27500,55,Train,0.05317019298672676
27500,55,Validation,0.053340356796979904
28000,56,Train,0.05276414752006531
28000,56,Validation,0.05287153646349907
28500,57,Train,0.05310821533203125
28500,57,Validation,0.053293626755476
29000,58,Train,0.0528533048927784
29000,58,Validation,0.05283161997795105
29500,59,Train,0.05202044919133186
29500,59,Validation,0.05210089311003685
30000,60,Train,0.052027031779289246
30000,60,Validation,0.05219654366374016
30500,61,Train,0.05251171812415123
30500,61,Validation,0.0526803694665432
31000,62,Train,0.05156633257865906
31000,62,Validation,0.05161921679973602
31500,63,Train,0.05167604237794876
31500,63,Validation,0.051895976066589355
32000,64,Train,0.051327917724847794
32000,64,Validation,0.051524315029382706
32500,65,Train,0.05080994591116905
32500,65,Validation,0.05114656686782837
33000,66,Train,0.051515646278858185
33000,66,Validation,0.05166864022612572
33500,67,Train,0.05086727440357208
33500,67,Validation,0.05081469565629959
34000,68,Train,0.04977729544043541
34000,68,Validation,0.04993395507335663
34500,69,Train,0.04966224730014801
34500,69,Validation,0.04975016042590141
35000,70,Train,0.04982889071106911
35000,70,Validation,0.04973449185490608
35500,71,Train,0.049895744770765305
35500,71,Validation,0.049833472818136215
36000,72,Train,0.04997333884239197
36000,72,Validation,0.050000522285699844
36500,73,Train,0.05063781142234802
36500,73,Validation,0.05072350054979324
37000,74,Train,0.050911154597997665
37000,74,Validation,0.0509500578045845
37500,75,Train,0.05004445090889931
37500,75,Validation,0.0498570017516613
38000,76,Train,0.04869659245014191
38000,76,Validation,0.04866732284426689
38500,77,Train,0.048412445932626724
38500,77,Validation,0.04831932857632637
39000,78,Train,0.04848422110080719
39000,78,Validation,0.04862290620803833
39500,79,Train,0.048140693455934525
39500,79,Validation,0.048118460923433304
40000,80,Train,0.04760854318737984
40000,80,Validation,0.04760309308767319
40500,81,Train,0.047426119446754456
40500,81,Validation,0.04766164347529411
41000,82,Train,0.048058729618787766
41000,82,Validation,0.04822579398751259
41500,83,Train,0.048429470509290695
41500,83,Validation,0.04871279001235962
42000,84,Train,0.049309905618429184
42000,84,Validation,0.0491507351398468
42500,85,Train,0.04973725229501724
42500,85,Validation,0.04957887530326843
43000,86,Train,0.049761466681957245
43000,86,Validation,0.04967808350920677
43500,87,Train,0.04917863756418228
43500,87,Validation,0.049338448792696
44000,88,Train,0.04925236105918884
44000,88,Validation,0.049330972135066986
44500,89,Train,0.049365390092134476
44500,89,Validation,0.04943123832345009
45000,90,Train,0.05012999847531319
45000,90,Validation,0.04998522624373436
45500,91,Train,0.04986121132969856
45500,91,Validation,0.04979300498962402
46000,92,Train,0.04826517775654793
46000,92,Validation,0.04828016832470894
46500,93,Train,0.046962492167949677
46500,93,Validation,0.04677882790565491
47000,94,Train,0.045356981456279755
47000,94,Validation,0.045121949166059494
47500,95,Train,0.044989217072725296
47500,95,Validation,0.045048654079437256
48000,96,Train,0.045777518302202225
48000,96,Validation,0.04586363583803177
48500,97,Train,0.04571228101849556
48500,97,Validation,0.04574832320213318
49000,98,Train,0.0473332554101944
49000,98,Validation,0.047297462821006775
49500,99,Train,0.04664643481373787
49500,99,Validation,0.0468873456120491
50000,100,Train,0.046384695917367935
50000,100,Validation,0.046519774943590164
