iteration,milestone,datasplit,mse
500,1,Train,0.24963170289993286
500,1,Validation,0.2509642243385315
1000,2,Train,0.23500429093837738
1000,2,Validation,0.2267686128616333
1500,3,Train,0.23783881962299347
1500,3,Validation,0.22040203213691711
2000,4,Train,0.2251514047384262
2000,4,Validation,0.2192351222038269
2500,5,Train,0.21573811769485474
2500,5,Validation,0.21865233778953552
3000,6,Train,0.22117160260677338
3000,6,Validation,0.21798279881477356
3500,7,Train,0.22099065780639648
3500,7,Validation,0.21684783697128296
4000,8,Train,0.2218899428844452
4000,8,Validation,0.21562477946281433
4500,9,Train,0.21898822486400604
4500,9,Validation,0.2145298719406128
5000,10,Train,0.21555861830711365
5000,10,Validation,0.21343860030174255
5500,11,Train,0.21780730783939362
5500,11,Validation,0.21297748386859894
6000,12,Train,0.2191433161497116
6000,12,Validation,0.21250268816947937
6500,13,Train,0.21480409801006317
6500,13,Validation,0.2119234800338745
7000,14,Train,0.2189398854970932
7000,14,Validation,0.21152451634407043
7500,15,Train,0.2115764170885086
7500,15,Validation,0.21114186942577362
8000,16,Train,0.21301253139972687
8000,16,Validation,0.2114555686712265
8500,17,Train,0.21394187211990356
8500,17,Validation,0.21173278987407684
9000,18,Train,0.21987265348434448
9000,18,Validation,0.2125154435634613
9500,19,Train,0.21873855590820312
9500,19,Validation,0.2135905623435974
10000,20,Train,0.2240409255027771
10000,20,Validation,0.21476411819458008
10500,21,Train,0.22263208031654358
10500,21,Validation,0.21620723605155945
11000,22,Train,0.22207409143447876
11000,22,Validation,0.2181043028831482
11500,23,Train,0.22405187785625458
11500,23,Validation,0.22081927955150604
12000,24,Train,0.2287951409816742
12000,24,Validation,0.22302459180355072
12500,25,Train,0.23366016149520874
12500,25,Validation,0.22849954664707184
13000,26,Train,0.23498830199241638
13000,26,Validation,0.2336445301771164
13500,27,Train,0.24384690821170807
13500,27,Validation,0.239105686545372
14000,28,Train,0.2513223886489868
14000,28,Validation,0.24049699306488037
14500,29,Train,0.24311092495918274
14500,29,Validation,0.24060691893100739
15000,30,Train,0.24676041305065155
15000,30,Validation,0.2437354326248169
15500,31,Train,0.24639548361301422
15500,31,Validation,0.24443525075912476
16000,32,Train,0.24911318719387054
16000,32,Validation,0.2433527261018753
16500,33,Train,0.24292264878749847
16500,33,Validation,0.24252761900424957
17000,34,Train,0.24009238183498383
17000,34,Validation,0.24203641712665558
17500,35,Train,0.24444007873535156
17500,35,Validation,0.2425386905670166
18000,36,Train,0.24658137559890747
18000,36,Validation,0.24148929119110107
18500,37,Train,0.2450484037399292
18500,37,Validation,0.24140378832817078
19000,38,Train,0.24166062474250793
19000,38,Validation,0.23866957426071167
19500,39,Train,0.23803271353244781
19500,39,Validation,0.23655462265014648
20000,40,Train,0.23767314851284027
20000,40,Validation,0.23477411270141602
20500,41,Train,0.23692920804023743
20500,41,Validation,0.2329753339290619
500,1,Train,0.24853858351707458
500,1,Validation,0.24998705089092255
1000,2,Train,0.23476198315620422
1000,2,Validation,0.22644361853599548
1500,3,Train,0.2364758849143982
1500,3,Validation,0.21924881637096405
2000,4,Train,0.22330893576145172
2000,4,Validation,0.21726500988006592
2500,5,Train,0.21316435933113098
2500,5,Validation,0.21651539206504822
3000,6,Train,0.2189064770936966
3000,6,Validation,0.21571075916290283
3500,7,Train,0.2189633846282959
3500,7,Validation,0.2152743637561798
4000,8,Train,0.22085601091384888
4000,8,Validation,0.21445749700069427
4500,9,Train,0.2182139754295349
4500,9,Validation,0.21385836601257324
5000,10,Train,0.21511563658714294
5000,10,Validation,0.2132091522216797
5500,11,Train,0.21729375422000885
5500,11,Validation,0.21243280172348022
6000,12,Train,0.2184303253889084
6000,12,Validation,0.21206943690776825
6500,13,Train,0.2146066427230835
6500,13,Validation,0.21177084743976593
7000,14,Train,0.2189192771911621
7000,14,Validation,0.2114885151386261
7500,15,Train,0.2116720974445343
7500,15,Validation,0.21129779517650604
8000,16,Train,0.212909534573555
