iteration,milestone,datasplit,mse
100,1,Train,2.6938915252685547
100,1,Validation,2.704906463623047
200,2,Train,2.6273422241210938
200,2,Validation,2.6108176708221436
300,3,Train,2.549135684967041
300,3,Validation,2.542074203491211
400,4,Train,2.4619040489196777
400,4,Validation,2.4640674591064453
500,5,Train,2.390951156616211
500,5,Validation,2.3815598487854004
600,6,Train,2.2973859310150146
600,6,Validation,2.2935500144958496
700,7,Train,2.2099313735961914
700,7,Validation,2.2017135620117188
800,8,Train,2.1044812202453613
800,8,Validation,2.1092448234558105
900,9,Train,2.0310680866241455
900,9,Validation,2.0213265419006348
1000,10,Train,1.9485032558441162
1000,10,Validation,1.9390207529067993
1100,11,Train,1.853965163230896
1100,11,Validation,1.8620134592056274
1200,12,Train,1.7915213108062744
1200,12,Validation,1.7895922660827637
1300,13,Train,1.7084603309631348
1300,13,Validation,1.7212847471237183
1400,14,Train,1.6532784700393677
1400,14,Validation,1.6565207242965698
1500,15,Train,1.592211365699768
1500,15,Validation,1.595017910003662
1600,16,Train,1.5369542837142944
1600,16,Validation,1.536306381225586
1700,17,Train,1.4771775007247925
1700,17,Validation,1.4793201684951782
1800,18,Train,1.4299535751342773
1800,18,Validation,1.424784779548645
1900,19,Train,1.3753952980041504
1900,19,Validation,1.3717272281646729
2000,20,Train,1.319934368133545
2000,20,Validation,1.3209656476974487
2100,21,Train,1.2699445486068726
2100,21,Validation,1.2715100049972534
2200,22,Train,1.223446011543274
2200,22,Validation,1.2224187850952148
2300,23,Train,1.1810296773910522
2300,23,Validation,1.1758029460906982
2400,24,Train,1.1287446022033691
2400,24,Validation,1.1304996013641357
2500,25,Train,1.0927739143371582
2500,25,Validation,1.0862375497817993
2600,26,Train,1.0518068075180054
2600,26,Validation,1.0426524877548218
2700,27,Train,1.0106933116912842
2700,27,Validation,0.99997478723526
2800,28,Train,0.9635206460952759
2800,28,Validation,0.9576094746589661
2900,29,Train,0.913080096244812
2900,29,Validation,0.9158732295036316
3000,30,Train,0.8940757513046265
3000,30,Validation,0.8738595843315125
3100,31,Train,0.8386216759681702
3100,31,Validation,0.8319739699363708
3200,32,Train,0.7900886535644531
3200,32,Validation,0.7889998555183411
3300,33,Train,0.7414723038673401
3300,33,Validation,0.7424648404121399
3400,34,Train,0.704926609992981
3400,34,Validation,0.6965596079826355
3500,35,Train,0.6627303957939148
3500,35,Validation,0.6510008573532104
3600,36,Train,0.6112231016159058
3600,36,Validation,0.6031472682952881
3700,37,Train,0.5645345449447632
3700,37,Validation,0.5533500909805298
3800,38,Train,0.5087456703186035
3800,38,Validation,0.5024958252906799
3900,39,Train,0.45750802755355835
3900,39,Validation,0.451035737991333
4000,40,Train,0.4119497835636139
4000,40,Validation,0.39996689558029175
4100,41,Train,0.3525099754333496
4100,41,Validation,0.3488670587539673
4200,42,Train,0.3064311444759369
4200,42,Validation,0.3016306459903717
4300,43,Train,0.26112815737724304
4300,43,Validation,0.2574782967567444
4400,44,Train,0.225080668926239
4400,44,Validation,0.21740610897541046
4500,45,Train,0.1851116567850113
4500,45,Validation,0.18107056617736816
4600,46,Train,0.1496712863445282
4600,46,Validation,0.1504012644290924
4700,47,Train,0.1280640959739685
4700,47,Validation,0.12401124089956284
4800,48,Train,0.10132350772619247
4800,48,Validation,0.10215691477060318
4900,49,Train,0.08574162423610687
4900,49,Validation,0.08459959179162979
5000,50,Train,0.07156975567340851
5000,50,Validation,0.07066293060779572
5100,51,Train,0.05950785055756569
5100,51,Validation,0.059583038091659546
5200,52,Train,0.052550699561834335
5200,52,Validation,0.05093146488070488
5300,53,Train,0.044058218598365784
5300,53,Validation,0.04397524148225784
5400,54,Train,0.03865791857242584
5400,54,Validation,0.038463324308395386
