iteration,milestone,datasplit,mse
500,1,Train,0.015317955985665321
500,1,Validation,0.015215655788779259
1000,2,Train,0.015184305608272552
1000,2,Validation,0.014996062964200974
1500,3,Train,0.014986076392233372
1500,3,Validation,0.01451100967824459
2000,4,Train,0.014694465324282646
2000,4,Validation,0.014637029729783535
2500,5,Train,0.015559257939457893
2500,5,Validation,0.01568415015935898
3000,6,Train,0.01439230889081955
3000,6,Validation,0.014179221354424953
3500,7,Train,0.014177362434566021
3500,7,Validation,0.014021351933479309
4000,8,Train,0.014728844165802002
4000,8,Validation,0.014561668038368225
4500,9,Train,0.01398027129471302
4500,9,Validation,0.013941597193479538
5000,10,Train,0.014144014567136765
5000,10,Validation,0.014026099815964699
5500,11,Train,0.01584324985742569
5500,11,Validation,0.015729261562228203
6000,12,Train,0.014333086088299751
