iteration,milestone,datasplit,mse
500,1,Train,0.04076980799436569
500,1,Validation,0.040508367121219635
1000,2,Train,0.024439191445708275
1000,2,Validation,0.02404502034187317
1500,3,Train,0.02092861570417881
1500,3,Validation,0.020202843472361565
2000,4,Train,0.01923305355012417
2000,4,Validation,0.019329337403178215
2500,5,Train,0.018725965172052383
2500,5,Validation,0.018931739032268524
3000,6,Train,0.018647627905011177
3000,6,Validation,0.018385782837867737
3500,7,Train,0.017816422507166862
3500,7,Validation,0.017679817974567413
4000,8,Train,0.016930097714066505
4000,8,Validation,0.01668344996869564
4500,9,Train,0.015908805653452873
4500,9,Validation,0.015958117321133614
5000,10,Train,0.015382600948214531
5000,10,Validation,0.015292443335056305
5500,11,Train,0.01488850824534893
5500,11,Validation,0.014740586280822754
6000,12,Train,0.014804727397859097
6000,12,Validation,0.014484548009932041
6500,13,Train,0.014358606189489365
6500,13,Validation,0.014248781837522984
7000,14,Train,0.014283236116170883
7000,14,Validation,0.014081314206123352
7500,15,Train,0.014229941181838512
7500,15,Validation,0.014037351123988628
8000,16,Train,0.014068221673369408
8000,16,Validation,0.013965880498290062
8500,17,Train,0.013997831381857395
8500,17,Validation,0.013941734097898006
9000,18,Train,0.014218502677977085
9000,18,Validation,0.01392010971903801
9500,19,Train,0.014198007062077522
9500,19,Validation,0.013947884552180767
10000,20,Train,0.01419865619391203
10000,20,Validation,0.013913306407630444
10500,21,Train,0.014161448925733566
10500,21,Validation,0.013928632251918316
11000,22,Train,0.014095566235482693
11000,22,Validation,0.013975091278553009
11500,23,Train,0.01408278476446867
11500,23,Validation,0.013969963416457176
12000,24,Train,0.014078695327043533
12000,24,Validation,0.014006181620061398
12500,25,Train,0.014323839917778969
12500,25,Validation,0.014032494276762009
13000,26,Train,0.01412289310246706
13000,26,Validation,0.014078279957175255
13500,27,Train,0.014294933527708054
13500,27,Validation,0.014057804830372334
14000,28,Train,0.014371691271662712
14000,28,Validation,0.014011820778250694
14500,29,Train,0.01410531997680664
14500,29,Validation,0.014052985236048698
15000,30,Train,0.014274906367063522
15000,30,Validation,0.014019259251654148
15500,31,Train,0.014111489057540894
15500,31,Validation,0.01405315101146698
16000,32,Train,0.014399404637515545
16000,32,Validation,0.014130977913737297
16500,33,Train,0.014058245345950127
16500,33,Validation,0.014080515131354332
17000,34,Train,0.013979606330394745
17000,34,Validation,0.01412584912031889
17500,35,Train,0.014221899211406708
