iteration,milestone,datasplit,mse
500,1,Train,0.2730146646499634
500,1,Validation,0.27463895082473755
1000,2,Train,0.25011080503463745
1000,2,Validation,0.2409498542547226
1500,3,Train,0.2476528137922287
1500,3,Validation,0.2303498238325119
2000,4,Train,0.2311548888683319
2000,4,Validation,0.2258681058883667
2500,5,Train,0.22264491021633148
2500,5,Validation,0.2265687733888626
3000,6,Train,0.22751647233963013
3000,6,Validation,0.22467371821403503
3500,7,Train,0.22643466293811798
3500,7,Validation,0.2229350507259369
4000,8,Train,0.22666096687316895
4000,8,Validation,0.22082652151584625
4500,9,Train,0.22228823602199554
4500,9,Validation,0.2180054932832718
5000,10,Train,0.218556210398674
5000,10,Validation,0.21650290489196777
5500,11,Train,0.22029449045658112
5500,11,Validation,0.21504172682762146
6000,12,Train,0.22036710381507874
6000,12,Validation,0.21393942832946777
6500,13,Train,0.2163887768983841
6500,13,Validation,0.21312777698040009
7000,14,Train,0.22070929408073425
7000,14,Validation,0.21271201968193054
7500,15,Train,0.21297764778137207
7500,15,Validation,0.2122185230255127
8000,16,Train,0.2130437046289444
8000,16,Validation,0.21166065335273743
8500,17,Train,0.21394115686416626
8500,17,Validation,0.21167540550231934
9000,18,Train,0.21939490735530853
9000,18,Validation,0.21156658232212067
9500,19,Train,0.21643176674842834
9500,19,Validation,0.21163591742515564
10000,20,Train,0.2215518206357956
10000,20,Validation,0.21177610754966736
10500,21,Train,0.21844850480556488
10500,21,Validation,0.21123985946178436
11000,22,Train,0.21513953804969788
11000,22,Validation,0.21073149144649506
11500,23,Train,0.2140285223722458
11500,23,Validation,0.21050617098808289
12000,24,Train,0.21761533617973328
12000,24,Validation,0.21073777973651886
12500,25,Train,0.21855396032333374
12500,25,Validation,0.21158143877983093
13000,26,Train,0.21459662914276123
13000,26,Validation,0.2131969928741455
13500,27,Train,0.2218889445066452
13500,27,Validation,0.21562886238098145
14000,28,Train,0.23052136600017548
14000,28,Validation,0.2178458422422409
14500,29,Train,0.22337909042835236
14500,29,Validation,0.2204599231481552
15000,30,Train,0.22735606133937836
15000,30,Validation,0.22365140914916992
15500,31,Train,0.22808095812797546
15500,31,Validation,0.22580797970294952
16000,32,Train,0.23519790172576904
16000,32,Validation,0.22857293486595154
16500,33,Train,0.23261097073554993
16500,33,Validation,0.23193761706352234
17000,34,Train,0.23116469383239746
17000,34,Validation,0.23344190418720245
17500,35,Train,0.23639284074306488
17500,35,Validation,0.23439745604991913
18000,36,Train,0.2395915985107422
18000,36,Validation,0.23407681286334991
18500,37,Train,0.2367294430732727
18500,37,Validation,0.23262304067611694
19000,38,Train,0.2333088219165802
19000,38,Validation,0.22995679080486298
19500,39,Train,0.23022079467773438
19500,39,Validation,0.22875478863716125
20000,40,Train,0.22915086150169373
20000,40,Validation,0.22595733404159546
20500,41,Train,0.22658301889896393
20500,41,Validation,0.2224576771259308
21000,42,Train,0.22231878340244293
21000,42,Validation,0.21983584761619568
21500,43,Train,0.21463492512702942
21500,43,Validation,0.2168615758419037
22000,44,Train,0.22542844712734222
22000,44,Validation,0.215011328458786
22500,45,Train,0.22171051800251007
22500,45,Validation,0.21364091336727142
23000,46,Train,0.21183302998542786
23000,46,Validation,0.21255604922771454
23500,47,Train,0.2149328887462616
23500,47,Validation,0.21189165115356445
24000,48,Train,0.21717053651809692
24000,48,Validation,0.2111733853816986
24500,49,Train,0.22100383043289185
24500,49,Validation,0.2106875330209732
25000,50,Train,0.21815717220306396
25000,50,Validation,0.21039578318595886
25500,51,Train,0.22079449892044067
25500,51,Validation,0.2104603499174118
26000,52,Train,0.2102104127407074
26000,52,Validation,0.21054141223430634
26500,53,Train,0.21348632872104645
26500,53,Validation,0.21028383076190948
27000,54,Train,0.2092437744140625
27000,54,Validation,0.21016329526901245
27500,55,Train,0.2149708867073059
27500,55,Validation,0.20999309420585632
28000,56,Train,0.20828616619110107
28000,56,Validation,0.2099318504333496
28500,57,Train,0.21332256495952606
28500,57,Validation,0.20988725125789642
29000,58,Train,0.22022517025470734
29000,58,Validation,0.20982012152671814
29500,59,Train,0.2085249125957489
29500,59,Validation,0.20987281203269958
30000,60,Train,0.2096661478281021
30000,60,Validation,0.20991681516170502
30500,61,Train,0.21081510186195374
30500,61,Validation,0.21001848578453064
31000,62,Train,0.21689864993095398
31000,62,Validation,0.21009482443332672
31500,63,Train,0.20743165910243988
31500,63,Validation,0.210108682513237
32000,64,Train,0.21076029539108276
32000,64,Validation,0.21019010245800018
32500,65,Train,0.20677047967910767
32500,65,Validation,0.21026232838630676
33000,66,Train,0.2200031280517578
33000,66,Validation,0.21055440604686737
33500,67,Train,0.21449004113674164
33500,67,Validation,0.2115093469619751
34000,68,Train,0.21015654504299164
34000,68,Validation,0.2114616185426712
34500,69,Train,0.2096872478723526
34500,69,Validation,0.2122846096754074
35000,70,Train,0.21711690723896027
35000,70,Validation,0.2120397835969925
35500,71,Train,0.2106945961713791
35500,71,Validation,0.21189634501934052
36000,72,Train,0.21151795983314514
36000,72,Validation,0.2119811773300171
36500,73,Train,0.2135060876607895
36500,73,Validation,0.21209461987018585
37000,74,Train,0.2138303518295288
37000,74,Validation,0.2125897854566574
37500,75,Train,0.21857687830924988
37500,75,Validation,0.212667316198349
38000,76,Train,0.22730761766433716
38000,76,Validation,0.21303872764110565
38500,77,Train,0.21672694385051727
38500,77,Validation,0.2129477709531784
39000,78,Train,0.22605697810649872
39000,78,Validation,0.21268795430660248
39500,79,Train,0.21295084059238434
39500,79,Validation,0.21281060576438904
40000,80,Train,0.2058320939540863
40000,80,Validation,0.21293652057647705
40500,81,Train,0.2111225128173828
40500,81,Validation,0.21304211020469666
41000,82,Train,0.21352878212928772
41000,82,Validation,0.21325957775115967
41500,83,Train,0.21743211150169373
41500,83,Validation,0.213354229927063
42000,84,Train,0.21754342317581177
42000,84,Validation,0.2132640779018402
42500,85,Train,0.22035908699035645
42500,85,Validation,0.2128075808286667
43000,86,Train,0.2133549004793167
43000,86,Validation,0.21241596341133118
43500,87,Train,0.21800430119037628
43500,87,Validation,0.212297722697258
44000,88,Train,0.2151898890733719
44000,88,Validation,0.21271848678588867
44500,89,Train,0.22021396458148956
44500,89,Validation,0.21304744482040405
45000,90,Train,0.2227698415517807
45000,90,Validation,0.21304142475128174
45500,91,Train,0.2129737287759781
45500,91,Validation,0.21310752630233765
46000,92,Train,0.2153949737548828
46000,92,Validation,0.21326807141304016
46500,93,Train,0.22519676387310028
46500,93,Validation,0.21285727620124817
47000,94,Train,0.21268481016159058
47000,94,Validation,0.21250660717487335
47500,95,Train,0.21399220824241638
47500,95,Validation,0.21266092360019684
48000,96,Train,0.22094382345676422
48000,96,Validation,0.21254682540893555
48500,97,Train,0.21172557771205902
48500,97,Validation,0.2126961201429367
49000,98,Train,0.22507785260677338
49000,98,Validation,0.21243183314800262
49500,99,Train,0.20842017233371735
49500,99,Validation,0.2125544399023056
50000,100,Train,0.21655914187431335
50000,100,Validation,0.21267499029636383
50500,101,Train,0.21416497230529785
50500,101,Validation,0.21236355602741241
51000,102,Train,0.21233226358890533
51000,102,Validation,0.2123231142759323
51500,103,Train,0.21995006501674652
51500,103,Validation,0.21267789602279663
52000,104,Train,0.22649818658828735
52000,104,Validation,0.212570458650589
52500,105,Train,0.22314433753490448
52500,105,Validation,0.2122674286365509
53000,106,Train,0.22000063955783844
53000,106,Validation,0.21254929900169373
53500,107,Train,0.21587352454662323
53500,107,Validation,0.21250909566879272
54000,108,Train,0.21653155982494354
54000,108,Validation,0.2130710929632187
54500,109,Train,0.21086013317108154
54500,109,Validation,0.21345254778862
55000,110,Train,0.21208636462688446
55000,110,Validation,0.21326206624507904
55500,111,Train,0.2173396199941635
55500,111,Validation,0.21322853863239288
56000,112,Train,0.2155192494392395
56000,112,Validation,0.21314167976379395
56500,113,Train,0.2179659605026245
56500,113,Validation,0.21279633045196533
57000,114,Train,0.22338126599788666
57000,114,Validation,0.2128913402557373
57500,115,Train,0.21989013254642487
57500,115,Validation,0.2127615362405777
58000,116,Train,0.22214609384536743
58000,116,Validation,0.2126964032649994
58500,117,Train,0.21347178518772125
58500,117,Validation,0.21298916637897491
59000,118,Train,0.21855857968330383
59000,118,Validation,0.21293982863426208
59500,119,Train,0.21624064445495605
59500,119,Validation,0.21310453116893768
60000,120,Train,0.2110596001148224
60000,120,Validation,0.2134598195552826
60500,121,Train,0.22320517897605896
60500,121,Validation,0.21325862407684326
61000,122,Train,0.21880587935447693
61000,122,Validation,0.21308916807174683
61500,123,Train,0.22138747572898865
61500,123,Validation,0.21324805915355682
62000,124,Train,0.20692817866802216
62000,124,Validation,0.21314257383346558
62500,125,Train,0.21785832941532135
62500,125,Validation,0.21327084302902222
63000,126,Train,0.21637994050979614
63000,126,Validation,0.21314071118831635
63500,127,Train,0.220098078250885
63500,127,Validation,0.21383409202098846
64000,128,Train,0.22727611660957336
64000,128,Validation,0.21353138983249664
64500,129,Train,0.2111622542142868
64500,129,Validation,0.21367160975933075
65000,130,Train,0.22252261638641357
65000,130,Validation,0.21330216526985168
65500,131,Train,0.21390017867088318
65500,131,Validation,0.21331870555877686
66000,132,Train,0.22014163434505463
66000,132,Validation,0.21302536129951477
66500,133,Train,0.21796058118343353
66500,133,Validation,0.21292641758918762
67000,134,Train,0.21725669503211975
67000,134,Validation,0.21328771114349365
67500,135,Train,0.21418564021587372
67500,135,Validation,0.21373610198497772
68000,136,Train,0.2224903404712677
68000,136,Validation,0.21291592717170715
68500,137,Train,0.21616186201572418
68500,137,Validation,0.21328195929527283
69000,138,Train,0.20989835262298584
69000,138,Validation,0.2132786214351654
69500,139,Train,0.21238838136196136
69500,139,Validation,0.21313902735710144
70000,140,Train,0.23030751943588257
70000,140,Validation,0.2134760618209839
70500,141,Train,0.22236217558383942
70500,141,Validation,0.21284617483615875
71000,142,Train,0.2139776200056076
71000,142,Validation,0.21239522099494934
71500,143,Train,0.2169160395860672
71500,143,Validation,0.21226653456687927
72000,144,Train,0.2017565816640854
72000,144,Validation,0.21190433204174042
72500,145,Train,0.2104649841785431
72500,145,Validation,0.21133968234062195
73000,146,Train,0.2102862149477005
73000,146,Validation,0.21166232228279114
73500,147,Train,0.21606090664863586
73500,147,Validation,0.21193914115428925
74000,148,Train,0.21499688923358917
74000,148,Validation,0.2122771143913269
74500,149,Train,0.21057112514972687
74500,149,Validation,0.21228739619255066
75000,150,Train,0.22131171822547913
75000,150,Validation,0.21193239092826843
75500,151,Train,0.21836581826210022
75500,151,Validation,0.21183304488658905
76000,152,Train,0.20539866387844086
76000,152,Validation,0.21132449805736542
76500,153,Train,0.21534980833530426
76500,153,Validation,0.2115565687417984
77000,154,Train,0.21271516382694244
77000,154,Validation,0.21143057942390442
77500,155,Train,0.21298620104789734
77500,155,Validation,0.21135757863521576
78000,156,Train,0.20911578834056854
78000,156,Validation,0.21171835064888
78500,157,Train,0.20778152346611023
78500,157,Validation,0.21073268353939056
79000,158,Train,0.21456797420978546
79000,158,Validation,0.2111026495695114
79500,159,Train,0.2117665559053421
79500,159,Validation,0.21125653386116028
80000,160,Train,0.2160836011171341
80000,160,Validation,0.21174387633800507
80500,161,Train,0.21083880960941315
80500,161,Validation,0.2124442756175995
81000,162,Train,0.22469550371170044
81000,162,Validation,0.21263694763183594
81500,163,Train,0.2210116982460022
81500,163,Validation,0.21179121732711792
82000,164,Train,0.22014158964157104
82000,164,Validation,0.21199850738048553
82500,165,Train,0.21132886409759521
82500,165,Validation,0.21172168850898743
83000,166,Train,0.220010444521904
83000,166,Validation,0.2115534096956253
83500,167,Train,0.23005692660808563
83500,167,Validation,0.21207568049430847
84000,168,Train,0.21918457746505737
84000,168,Validation,0.21153844892978668
84500,169,Train,0.22111287713050842
84500,169,Validation,0.21148470044136047
85000,170,Train,0.22025975584983826
85000,170,Validation,0.21134808659553528
85500,171,Train,0.20525409281253815
85500,171,Validation,0.21106016635894775
86000,172,Train,0.21873638033866882
86000,172,Validation,0.21082718670368195
86500,173,Train,0.2232697606086731
86500,173,Validation,0.21080997586250305
87000,174,Train,0.21733012795448303
87000,174,Validation,0.2110763043165207
87500,175,Train,0.22067996859550476
87500,175,Validation,0.21123313903808594
88000,176,Train,0.2161828875541687
88000,176,Validation,0.21183332800865173
88500,177,Train,0.21436092257499695
88500,177,Validation,0.21188923716545105
89000,178,Train,0.21752071380615234
89000,178,Validation,0.21219515800476074
89500,179,Train,0.21226024627685547
89500,179,Validation,0.21217617392539978
90000,180,Train,0.21767356991767883
90000,180,Validation,0.2124626636505127
90500,181,Train,0.2109810709953308
90500,181,Validation,0.21199727058410645
91000,182,Train,0.21271678805351257
91000,182,Validation,0.21198223531246185
91500,183,Train,0.217153862118721
91500,183,Validation,0.2115720510482788
92000,184,Train,0.21532809734344482
92000,184,Validation,0.2111780047416687
92500,185,Train,0.21339485049247742
92500,185,Validation,0.21106365323066711
93000,186,Train,0.21351101994514465
93000,186,Validation,0.21106433868408203
93500,187,Train,0.2144373208284378
93500,187,Validation,0.21096976101398468
94000,188,Train,0.21284881234169006
94000,188,Validation,0.21097873151302338
94500,189,Train,0.2175009846687317
94500,189,Validation,0.21069416403770447
95000,190,Train,0.2096746414899826
95000,190,Validation,0.21056073904037476
95500,191,Train,0.21351155638694763
95500,191,Validation,0.2102709263563156
96000,192,Train,0.2142806053161621
96000,192,Validation,0.21047239005565643
96500,193,Train,0.21408343315124512
96500,193,Validation,0.21067370474338531
97000,194,Train,0.21624153852462769
97000,194,Validation,0.2105906754732132
97500,195,Train,0.21177013218402863
97500,195,Validation,0.21111902594566345
98000,196,Train,0.21251946687698364
98000,196,Validation,0.21125511825084686
98500,197,Train,0.22447092831134796
98500,197,Validation,0.21117261052131653
99000,198,Train,0.2214745283126831
99000,198,Validation,0.2111702859401703
99500,199,Train,0.2231494039297104
99500,199,Validation,0.21148599684238434
100000,200,Train,0.21750473976135254
100000,200,Validation,0.2119418978691101
100500,201,Train,0.21500860154628754
100500,201,Validation,0.21210844814777374
101000,202,Train,0.21320666372776031
101000,202,Validation,0.21196292340755463
101500,203,Train,0.21421870589256287
101500,203,Validation,0.21217414736747742
102000,204,Train,0.2165595144033432
102000,204,Validation,0.2119041234254837
102500,205,Train,0.22592322528362274
102500,205,Validation,0.21190756559371948
103000,206,Train,0.2134057581424713
103000,206,Validation,0.2121732532978058
103500,207,Train,0.20862723886966705
103500,207,Validation,0.21170084178447723
104000,208,Train,0.20782992243766785
104000,208,Validation,0.21160802245140076
104500,209,Train,0.2120264768600464
104500,209,Validation,0.2113076001405716
105000,210,Train,0.21544703841209412
105000,210,Validation,0.2114703506231308
105500,211,Train,0.21528273820877075
105500,211,Validation,0.2117237001657486
106000,212,Train,0.21313001215457916
106000,212,Validation,0.21193468570709229
106500,213,Train,0.221067875623703
106500,213,Validation,0.21185486018657684
107000,214,Train,0.22370852530002594
107000,214,Validation,0.21165165305137634
107500,215,Train,0.21573087573051453
107500,215,Validation,0.2114059180021286
108000,216,Train,0.2096731960773468
108000,216,Validation,0.21130211651325226
108500,217,Train,0.2206657975912094
108500,217,Validation,0.21116140484809875
109000,218,Train,0.2115710824728012
109000,218,Validation,0.21102496981620789
109500,219,Train,0.21507148444652557
109500,219,Validation,0.21123522520065308
110000,220,Train,0.20836657285690308
110000,220,Validation,0.21141885221004486
110500,221,Train,0.209192156791687
110500,221,Validation,0.2112516611814499
111000,222,Train,0.21091441810131073
111000,222,Validation,0.2113623321056366
111500,223,Train,0.21386581659317017
111500,223,Validation,0.21216519176959991
112000,224,Train,0.21533745527267456
112000,224,Validation,0.21152585744857788
112500,225,Train,0.21206387877464294
112500,225,Validation,0.21133959293365479
113000,226,Train,0.209528848528862
113000,226,Validation,0.21099483966827393
113500,227,Train,0.21710777282714844
113500,227,Validation,0.21102268993854523
114000,228,Train,0.2147703915834427
114000,228,Validation,0.21131275594234467
114500,229,Train,0.21208633482456207
114500,229,Validation,0.21094954013824463
115000,230,Train,0.21507048606872559
115000,230,Validation,0.2107953280210495
115500,231,Train,0.21259233355522156
115500,231,Validation,0.2105564922094345
116000,232,Train,0.210191547870636
116000,232,Validation,0.2107021063566208
116500,233,Train,0.21696215867996216
116500,233,Validation,0.21059024333953857
117000,234,Train,0.21072189509868622
117000,234,Validation,0.21058547496795654
117500,235,Train,0.20712444186210632
117500,235,Validation,0.2103390395641327
118000,236,Train,0.2189553827047348
118000,236,Validation,0.21033714711666107
118500,237,Train,0.2144804745912552
118500,237,Validation,0.21041755378246307
119000,238,Train,0.21338360011577606
119000,238,Validation,0.21044644713401794
119500,239,Train,0.21441197395324707
119500,239,Validation,0.2102341651916504
120000,240,Train,0.20351488888263702
120000,240,Validation,0.2103714942932129
120500,241,Train,0.2160394936800003
120500,241,Validation,0.21027228236198425
121000,242,Train,0.2136942595243454
121000,242,Validation,0.2102365791797638
121500,243,Train,0.21161052584648132
121500,243,Validation,0.21016810834407806
122000,244,Train,0.21188335120677948
122000,244,Validation,0.21009428799152374
122500,245,Train,0.2114572525024414
122500,245,Validation,0.21013092994689941
123000,246,Train,0.21023736894130707
123000,246,Validation,0.21075128018856049
123500,247,Train,0.2181149572134018
123500,247,Validation,0.21101543307304382
124000,248,Train,0.2096879482269287
124000,248,Validation,0.2109166383743286
124500,249,Train,0.21247301995754242
124500,249,Validation,0.21060077846050262
125000,250,Train,0.21733032166957855
125000,250,Validation,0.2107991874217987
125500,251,Train,0.21029254794120789
125500,251,Validation,0.21062840521335602
126000,252,Train,0.21753039956092834
126000,252,Validation,0.21081937849521637
126500,253,Train,0.21215112507343292
126500,253,Validation,0.2114877700805664
127000,254,Train,0.2037668377161026
127000,254,Validation,0.2118077129125595
127500,255,Train,0.2220301330089569
127500,255,Validation,0.21169136464595795
128000,256,Train,0.20928950607776642
128000,256,Validation,0.21125958859920502
128500,257,Train,0.21593254804611206
128500,257,Validation,0.2112506777048111
129000,258,Train,0.2140633761882782
129000,258,Validation,0.21091006696224213
129500,259,Train,0.21694034337997437
129500,259,Validation,0.2105591595172882
130000,260,Train,0.2112961709499359
130000,260,Validation,0.21056661009788513
130500,261,Train,0.21041887998580933
130500,261,Validation,0.2104920595884323
131000,262,Train,0.2135428637266159
131000,262,Validation,0.21036870777606964
131500,263,Train,0.21805858612060547
131500,263,Validation,0.21052885055541992
132000,264,Train,0.2173757255077362
132000,264,Validation,0.21068231761455536
132500,265,Train,0.2110932469367981
132500,265,Validation,0.21059226989746094
133000,266,Train,0.21299991011619568
133000,266,Validation,0.2104261815547943
133500,267,Train,0.20416341722011566
133500,267,Validation,0.21022658050060272
134000,268,Train,0.22334276139736176
134000,268,Validation,0.21010622382164001
134500,269,Train,0.21345658600330353
134500,269,Validation,0.2103796899318695
135000,270,Train,0.21169477701187134
135000,270,Validation,0.21002042293548584
135500,271,Train,0.21127136051654816
135500,271,Validation,0.2097620815038681
136000,272,Train,0.2144089788198471
136000,272,Validation,0.20978963375091553
136500,273,Train,0.2170698046684265
136500,273,Validation,0.20965087413787842
137000,274,Train,0.2153797745704651
137000,274,Validation,0.2097392976284027
137500,275,Train,0.1983296126127243
137500,275,Validation,0.21001598238945007
138000,276,Train,0.2199835330247879
138000,276,Validation,0.21011309325695038
138500,277,Train,0.21968883275985718
138500,277,Validation,0.2101629674434662
139000,278,Train,0.21358773112297058
139000,278,Validation,0.20985612273216248
139500,279,Train,0.2125481814146042
139500,279,Validation,0.20989279448986053
140000,280,Train,0.21302157640457153
140000,280,Validation,0.20962460339069366
140500,281,Train,0.21490901708602905
140500,281,Validation,0.21000492572784424
141000,282,Train,0.21818776428699493
141000,282,Validation,0.20989331603050232
141500,283,Train,0.21319693326950073
141500,283,Validation,0.20985989272594452
142000,284,Train,0.21375440061092377
142000,284,Validation,0.20995116233825684
142500,285,Train,0.21508091688156128
142500,285,Validation,0.2099609375
143000,286,Train,0.21563240885734558
143000,286,Validation,0.20985634624958038
143500,287,Train,0.21361671388149261
143500,287,Validation,0.20942172408103943
144000,288,Train,0.20699216425418854
144000,288,Validation,0.20916813611984253
144500,289,Train,0.21479922533035278
144500,289,Validation,0.20923559367656708
145000,290,Train,0.21969947218894958
145000,290,Validation,0.20932278037071228
145500,291,Train,0.2118929624557495
145500,291,Validation,0.20937292277812958
